image,sha256,file,capture_setup,role,frame,time_s,x,y,w,h,ground_fraction
CamA_20260914_141546_0ce88d4f6a12_f00000_x381_y480.jpg,0ce88d4f6a12184f4a1fbfd47c8c7f34d4f4ba909988654aa2b714ccbd1c7625,CamA_20260914_141546.mkv,cama-20260914,spent,0,0.00,381,480,960,960,0.264
CamA_20260914_141646_ef813508cc6a_f00000_x315_y0.jpg,ef813508cc6ac14acc189ae5a0bbc3a5ee76a880d59c52b61ae5250506ba3691,CamA_20260914_141646.mkv,cama-20260914,spent,0,0.00,315,0,960,960,0.276
CamA_20260914_141846_4de0722a3bc6_f01250_x335_y0.jpg,4de0722a3bc69362316792e90793c680522d75d9d1e21f7192d2d95ec4874488,CamA_20260914_141846.mkv,cama-20260914,spent,1250,50.00,335,0,960,960,0.317
CamA_20260914_144747_51b411a04923_f00000_x1481_y480.jpg,51b411a04923fa6418306df99135914692d2ba0665d58e6a191d72d84cc0c9d4,CamA_20260914_144747.mkv,cama-20260914,spent,0,0.00,1481,480,960,960,0.347
CamA_20260914_144747_51b411a04923_f00000_x1481_y960.jpg,51b411a04923fa6418306df99135914692d2ba0665d58e6a191d72d84cc0c9d4,CamA_20260914_144747.mkv,cama-20260914,spent,0,0.00,1481,960,960,960,0.311
CamA_20260914_144747_51b411a04923_f00875_x1481_y480.jpg,51b411a04923fa6418306df99135914692d2ba0665d58e6a191d72d84cc0c9d4,CamA_20260914_144747.mkv,cama-20260914,spent,875,35.00,1481,480,960,960,0.283
CamA_20260914_144747_51b411a04923_f01075_x1481_y480.jpg,51b411a04923fa6418306df99135914692d2ba0665d58e6a191d72d84cc0c9d4,CamA_20260914_144747.mkv,cama-20260914,spent,1075,43.00,1481,480,960,960,0.354
CamA_20260914_145047_4f231757a727_f00950_x1497_y480.jpg,4f231757a72754ae84796da6b0cc143ca18680e9d35db23e925ce93f91aee2fa,CamA_20260914_145047.mkv,cama-20260914,spent,950,38.00,1497,480,960,960,0.318
CamA_20260914_150248_12e34b4e950b_f00000_x1586_y960.jpg,12e34b4e950b94caca97c869c923516c7fddbb251cf01679359ac6143cf081bb,CamA_20260914_150248.mkv,cama-20260914,spent,0,0.00,1586,960,960,960,0.351
CamA_20260914_150248_12e34b4e950b_f00050_x1586_y480.jpg,12e34b4e950b94caca97c869c923516c7fddbb251cf01679359ac6143cf081bb,CamA_20260914_150248.mkv,cama-20260914,spent,50,2.00,1586,480,960,960,0.446
CamA_20260914_150248_12e34b4e950b_f00050_x1586_y960.jpg,12e34b4e950b94caca97c869c923516c7fddbb251cf01679359ac6143cf081bb,CamA_20260914_150248.mkv,cama-20260914,spent,50,2.00,1586,960,960,960,0.387
